UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo,Currency
356,KQ,1,2500,0,LHR,HRE,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KQ,1,KQ,101,LHR,LON,GB,2,17:25,NBO,NBO,KE,1A,1,05:00,788,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
356,KQ,1,2500,0,LHR,HRE,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KQ,2,KQ,706,NBO,NBO,KE,1A,07:00,HRE,HRE,ZW,I,0,10:45,E90,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
356,KQ,1,2500,0,LHR,HRE,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KQ,3,KQ,709,HRE,HRE,ZW,I,02:00,NBO,NBO,KE,1A,0,06:00,E90,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
356,KQ,1,2500,0,LHR,HRE,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KQ,4,KQ,100,NBO,NBO,KE,1A,09:35,LHR,LON,GB,4,0,15:30,788,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
355,KQ,1,2500,0,LHR,NBO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KQ,1,KQ,101,LHR,LON,GB,2,17:25,NBO,NBO,KE,1A,1,05:00,788,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
355,KQ,1,2500,0,LHR,NBO,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KQ,2,KQ,100,NBO,NBO,KE,1A,09:35,LHR,LON,GB,4,0,15:30,788,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
354,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,1,TP,1357,LHR,LON,GB,5,18:30,LIS,LIS,PT,A,0,21:05,32Q,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
354,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,2,TP,87,LIS,LIS,PT,F,23:45,GRU,GRU,BR,N,1,06:45,339,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
354,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,3,TP,82,GRU,GRU,BR,N,19:25,LIS,LIS,PT,3,1,08:20,339,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
354,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,4,TP,1356,LIS,LIS,PT,3,14:40,LHR,LON,GB,5,0,17:30,320,True,0,No check-in baggage included in the fare,1,0 Pcs included,GBP
353,TP,1,1001,0,LHR,GRU,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TP,1,TP,1359,LHR,LON,GB,5,13:40,LIS,LIS,PT,A,0,16:20,32Q,False,0,No check-in baggage included in the fare,0,0 Pcs included,GBP
