UniqueId,ValCarrier,AirV,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,OfferType,ValidFromDate,ValidToDate,Status,ModifiedBy,OperatingCarrierCode,FltNum,SerialId,D_AirportCode,D_AirportCityCode,D_Terminal,D_AirportCountryCode,D_Time,D_DateTimeStamp,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,A_Time,A_DateTimeStamp,EquipType,IsNextDayCount,IsReturn,BaggageInfo
178,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4093,4,MIA,MIA,N,US,18:05,T18:05:00.000-05:00,LHR,LON,GB,3,7:45,T07:45:00.000+01:00,772,1,TRUE,0 Pcs included
177,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5789,1,LHR,LON,3,GB,17:15,T17:15:00.000+01:00,ORD,ORD,US,5,20:20,T20:20:00.000-04:00,772,0,FALSE,0 Pcs included
177,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5605,2,ORD,ORD,3,US,22:05,T22:05:00.000-04:00,MSP,MSP,US,1,23:28,T23:28:00.000-04:00,738,0,FALSE,0 Pcs included
177,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,3286,3,MSP,MSP,1,US,12:13,T12:13:00.000-04:00,MIA,MIA,US,N,16:45,T16:45:00.000-05:00,E75,0,TRUE,0 Pcs included
177,AY,AY,1,1001,0,LHR,MSP,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4093,4,MIA,MIA,N,US,18:05,T18:05:00.000-05:00,LHR,LON,GB,3,7:45,T07:45:00.000+01:00,772,1,TRUE,0 Pcs included
176,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5493,1,LHR,LON,5,GB,15:45,T15:45:00.000+01:00,DFW,DFW,US,D,20:10,T20:10:00.000-04:00,789,0,FALSE,0 Pcs included
176,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5493,2,DFW,DFW,0,US,22:20,T22:20:00.000-04:00,ABQ,ABQ,US,N,23:05,T23:05:00.000-04:00,738,0,FALSE,0 Pcs included
176,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4710,3,ABQ,ABQ,N,US,7:05,T07:05:00.000-04:00,ORD,ORD,US,3,11:03,T11:03:00.000-05:00,738,0,TRUE,0 Pcs included
176,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5897,4,ORD,ORD,3,US,19:00,T19:00:00.000-05:00,LHR,LON,GB,3,8:40,T08:40:00.000+01:00,772,1,TRUE,0 Pcs included
175,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,5746,1,LHR,LON,3,GB,11:50,T11:50:00.000+01:00,ORD,ORD,US,5,14:50,T14:50:00.000-04:00,772,0,FALSE,0 Pcs included
175,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4541,2,ORD,ORD,3,US,20:15,T20:15:00.000-04:00,ABQ,ABQ,US,N,22:13,T22:13:00.000-04:00,738,0,FALSE,0 Pcs included
175,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,6408,3,ABQ,ABQ,N,US,5:05,T05:05:00.000-04:00,DFW,DFW,US,0,7:55,T07:55:00.000-05:00,738,0,TRUE,0 Pcs included
175,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,AA,4009,4,DFW,DFW,0,US,15:50,T15:50:00.000-05:00,LHR,LON,GB,3,6:50,T06:50:00.000+01:00,77W,1,TRUE,0 Pcs included
174,AY,AY,1,1001,0,LHR,ABQ,TJ_MMD,CALL,9/25/2020 0:00,10/31/2021 0:00,FALSE,Faisal,BA,5963,1,LHR,LON,5,GB,12:10,T12:10:00.000+01:00,ORD,ORD,US,5,15:05,T15:05:00.000-04:00,789,0,FALSE,0 Pcs included
