UniqueId,ValCarrier,JourneyType,Pax_A_BaseFare,Pax_A_Taxes,Origin,Destination,Camp_ID,ValidFrom,ValidTo,OperatingCarrierCode,SerialId,AirV,FltNum,D_AirportCode,D_AirportCityCode,D_AirportCountryCode,D_Terminal,D_Time,A_AirportCode,A_AirportCityCode,A_AirportCountryCode,A_Terminal,IsNextDayCount,A_Time,EquipType,IsReturn,BI_Pieces,BI_Description,Sector_Group,BaggageInfo
168,KL,1,1001,220,LHR,KGL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KL,3,KL,535,KGL,KGL,RW,N,04:50,AMS,AMS,NL,N,1,11:30,333,True,0,No check-in baggage included in the fare,1,0 Pcs included
168,KL,1,1001,220,LHR,KGL,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,KL,4,KL,1007,AMS,AMS,NL,N,14:50,LHR,LON,GB,2,0,16:15,73J,True,0,No check-in baggage included in the fare,1,0 Pcs included
167,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,1,TK,1980,LHR,LON,GB,2,11:35,IST,IST,TR,N,0,18:25,77W,False,0,No check-in baggage included in the fare,0,0 Pcs included
167,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,2,TK,612,IST,IST,TR,N,19:35,EBB,EBB,UG,N,1,03:55,73J,False,0,No check-in baggage included in the fare,0,0 Pcs included
167,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,3,TK,612,EBB,EBB,UG,N,04:50,IST,IST,TR,N,0,11:30,73J,True,0,No check-in baggage included in the fare,1,0 Pcs included
167,TK,1,1001,0,LHR,EBB,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,TK,4,TK,1971,IST,IST,TR,N,14:50,LHR,LON,GB,2,0,16:15,333,True,0,No check-in baggage included in the fare,1,0 Pcs included
166,SN,1,1001,0,MAN,DSS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,1,SN,2184,MAN,MAN,GB,2,06:10,BRU,BRU,BE,N,0,08:30,319,False,0,No check-in baggage included in the fare,0,0 Pcs included
166,SN,1,1001,0,MAN,DSS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,2,SN,203,BRU,BRU,BE,N,11:35,DSS,DSS,SN,N,0,16:45,333,False,0,No check-in baggage included in the fare,0,0 Pcs included
166,SN,1,1001,0,MAN,DSS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,3,SN,206,DSS,DSS,SN,N,22:25,BRU,BRU,BE,N,1,05:15,333,True,0,No check-in baggage included in the fare,1,0 Pcs included
166,SN,1,1001,0,MAN,DSS,TJ_MMD,01/01/2019 00:00:00,01/01/2022 00:00:00,SN,4,SN,2173,BRU,BRU,BE,N,09:55,MAN,MAN,GB,2,0,10:20,319,True,0,No check-in baggage included in the fare,1,0 Pcs included
